n,pid,batch,date,cat,categoria
420,279e3c2e3f,dreams_recent,2026-09-17,7,meta_discussao
421,c1b8f8439f,dreams_recent,2026-09-17,1,onirico
422,a8074e3364,desabafos_sonhei,2026-07-25,1,onirico
423,113e6bf54b,r_sonhos,2018-03-28,5,ruido_comercial_spam
424,518b75e569,desabafos_sonhei,2026-09-12,3,pesadelo_angustia
425,3a4a2cbb0c,r_sonhos,2018-04-06,5,ruido_comercial_spam
426,a0b608cd68,desabafos_meusonho,2026-09-04,3,pesadelo_angustia
427,bab826b5a2,desabafos_meusonho,2026-09-08,3,pesadelo_angustia
428,6f3d9c8a15,desabafos_sonhei,2026-07-27,3,pesadelo_angustia
429,ea72c47804,r_sonhos,2018-05-12,5,ruido_comercial_spam
430,719a35d31c,r_sonhos,2018-02-06,5,ruido_comercial_spam
431,0104f8f056,dreams_2015,2015-12-28,1,onirico
432,f912f3943a,dreams_2015,2015-12-26,3,pesadelo_angustia
433,ff241a56a1,desabafos_meusonho,2026-09-16,3,pesadelo_angustia
434,c57169a74c,r_sonhos,2018-04-04,5,ruido_comercial_spam
435,374960efcf,desabafos_sonhei,2026-07-09,1,onirico
436,d08d96f125,desabafos_sonhei,2026-08-10,2,desejo
437,c39f737453,desabafos_sonhei,2026-06-27,2,desejo
438,65676872f7,desabafos_sonhei,2026-08-03,3,pesadelo_angustia
439,42269b4f03,desabafos_meusonho,2026-09-06,3,pesadelo_angustia
440,5a9bfd10e5,lucid,2026-09-17,1,onirico
441,6155439518,dreams_recent,2026-09-17,1,onirico
442,831a4b3efd,desabafos_sonhei,2026-07-24,1,onirico
443,509899745e,r_sonhos,2018-02-06,5,ruido_comercial_spam
444,57ddcc9e00,desabafos_meusonho,2026-09-07,3,pesadelo_angustia
445,e0233efb81,desabafos_sonhei,2026-07-23,3,pesadelo_angustia
446,3dd5713baf,desabafos_sonhei,2026-07-12,2,desejo
447,3a04ddd418,dreams_2015,2015-12-29,1,onirico
448,439f13bdc3,dreams_recent,2026-09-17,1,onirico
449,7c3179943e,dreams_2015,2015-12-28,6,indecidivel
450,9595b06907,r_sonhos,2018-04-11,5,ruido_comercial_spam
451,ae3b4875d3,lucid,2026-09-16,1,onirico
452,25a50350f3,desabafos_meusonho,2026-09-12,3,pesadelo_angustia
453,c5e9fb0c0a,desabafos_sonhei,2026-07-23,2,desejo
454,914a0e24c9,desabafos_meusonho,2026-09-14,2,desejo
455,1f1fb25b12,desabafos_meusonho,2026-09-02,3,pesadelo_angustia
456,22a227eba9,lucid,2026-09-16,1,onirico
457,f1c4f42020,r_sonhos,2017-12-10,7,meta_discussao
458,f0353f73e0,r_sonhos,2018-04-11,5,ruido_comercial_spam
459,95668b0bf3,dreams_recent,2026-09-17,1,onirico
460,42fd4cb8cd,r_sonhos,2018-03-28,5,ruido_comercial_spam
461,fcd312b4c2,r_sonhos,2018-07-31,5,ruido_comercial_spam
462,4a19f24af4,desabafos_sonhei,2026-09-10,3,pesadelo_angustia
463,4d6712d933,dreams_2015,2015-12-28,7,meta_discussao
464,d8a7da0b34,desabafos_sonhei,2026-07-24,1,onirico
465,e0cf2ab2ca,dreams_recent,2026-09-17,3,pesadelo_angustia
466,b2e7bdd7e6,dreams_recent,2026-09-17,4,idiomatico_vazio
467,55f2df71b6,lucid,2026-09-15,7,meta_discussao
468,3bbb5909bf,desabafos_sonhei,2026-08-31,1,onirico
469,af414af404,dreams_2015,2015-12-26,5,ruido_comercial_spam
470,4b6f2ce04c,r_sonhos,2017-12-14,5,ruido_comercial_spam
471,18af8a1054,desabafos_meusonho,2026-09-06,3,pesadelo_angustia
472,3db63505ec,r_sonhos,2018-08-04,4,idiomatico_vazio
473,4babac774b,dreams_recent,2026-09-17,4,idiomatico_vazio
474,02517b3427,r_sonhos,2018-01-15,5,ruido_comercial_spam
475,9b1027acb4,desabafos_sonhei,2026-07-20,4,idiomatico_vazio
476,12b9c4fdb6,dreams_recent,2026-09-17,1,onirico
477,be003e4489,r_sonhos,2017-12-10,5,ruido_comercial_spam
478,d4bf5c740e,desabafos_meusonho,2026-09-07,4,idiomatico_vazio
479,dee00732a4,lucid,2026-09-17,1,onirico
480,3652e91dec,r_sonhos,2018-04-04,5,ruido_comercial_spam
481,2368598d7d,dreams_recent,2026-09-17,1,onirico
482,ad619c969f,desabafos_sonhei,2026-08-01,3,pesadelo_angustia
483,2590d294b2,r_sonhos,2017-12-31,5,ruido_comercial_spam
484,4b8dfe67cb,dreams_recent,2026-09-17,1,onirico
485,6bc8eac741,r_sonhos,2017-12-14,5,ruido_comercial_spam
486,84987095f9,desabafos_sonhei,2026-07-21,3,pesadelo_angustia
487,adbfb554e2,desabafos_sonhei,2026-08-22,3,pesadelo_angustia
488,61793c5687,r_sonhos,2018-04-06,5,ruido_comercial_spam
489,9161fbd555,r_sonhos,2018-04-11,5,ruido_comercial_spam
490,bae4bffcff,desabafos_sonhei,2026-08-04,2,desejo
491,def82a3f90,r_sonhos,2018-01-04,5,ruido_comercial_spam
